Gene	ID	Count
5htr2c	1	4
A1BG	2	5
A2LD1	3	51
A2M	4	1
A2ML1	5	4
AAAS	6	8
AACS	7	45
AADAT	8	3
AAK1	9	38
AAMP	10	8
AANAT	11	7
AARS	12	23
AARSD1	13	13
AASDH	14	4
AASDHPPT	15	6
AASS	16	14
AATF	17	31
AATK	18	16
ABAT	19	12
ABCA1	20	31
ABCA10	21	15
ABCA12	22	7
ABCA13	23	65
ABCA2	24	1
ABCA3	25	31
ABCA4	26	43
ABCA5	27	7
ABCA6	28	27
ABCA7	29	18
ABCA9	30	9
ABCB1	31	19
ABCB10	32	4
ABCB6	33	4
ABCB7	34	5
ABCB8	35	17
ABCB9	36	25
ABCC1	37	78
ABCC10	38	14
ABCC11	39	6
ABCC3	40	8
ABCC4	41	39
ABCC5	42	15
ABCC8	43	16
ABCD1	44	1
ABCD2	45	3
ABCD3	46	13
ABCD4	47	8
ABCE1	48	9
ABCF2	49	11
ABCF3	50	7
ABCG1	51	36
ABCG2	52	18
ABCG4	53	10
ABCG8	54	13
ABHD1	55	10
ABHD10	56	3
ABHD11	57	5
ABHD12	58	25
ABHD12B	59	8
ABHD13	60	5
ABHD14A	61	9
ABHD14B	62	4
ABHD2	63	25
ABHD3	64	16
ABHD4	65	10
ABHD5	66	109
ABHD6	67	12
ABHD8	68	13
ABI1	69	13
ABI2	70	17
ABI3	71	6
ABL1	72	47
ABL2	73	19
ABLIM1	74	23
ABLIM3	75	11
ABO	76	10
ABP1	77	5
ABR	78	60
ABRA	79	2
ABT1	80	4
ABTB1	81	2
ABTB2	82	94
ACAA1	83	8
ACAA2	84	9
ACACA	85	47
ACACB	86	56
ACAD10	87	1
ACAD11	88	7
ACAD8	89	11
ACAD9	90	28
ACADL	91	6
ACADM	92	6
ACADS	93	18
ACADSB	94	12
ACADVL	95	3
ACAN	96	38
ACAP1	97	11
ACAP2	98	5
ACAP3	99	6
ACAT1	100	6
ACAT2	101	11
ACBD3	102	29
ACBD4	103	5
ACBD5	104	14
ACBD6	105	23
ACBD7	106	10
ACCN1	107	139
ACCN2	108	20
ACCN3	109	4
ACCS	110	7
ACCSL	111	13
ACD	112	12
ACE	113	6
ACE2	114	7
ACER2	115	21
ACER3	116	10
ACHE	117	11
ACIN1	118	7
ACLY	119	2
ACN9	120	12
ACO1	121	51
ACO2	122	16
ACOT11	123	14
ACOT12	124	4
ACOT13	125	3
ACOT2	126	8
ACOT4	127	11
ACOT7	128	48
ACOT8	129	16
ACOT9	130	8
ACOX1	131	2
ACOX2	132	24
ACOX3	133	6
ACP1	134	1
ACP2	135	21
ACP5	136	2
ACP6	137	7
ACPP	138	13
ACPT	139	10
ACRBP	140	3
ACRC	141	11
ACRV1	142	10
ACSBG1	143	18
ACSBG2	144	12
ACSF2	145	9
ACSF3	146	18
ACSL1	147	26
ACSL3	148	18
ACSL4	149	6
ACSL5	150	14
ACSL6	151	37
ACSM2A	152	8
ACSS1	153	23
ACSS2	154	24
ACSS3	155	4
ACTA1	156	3
ACTB	157	2
ACTC1	158	7
ACTG1	159	6
ACTG2	160	9
ACTL6A	161	9
ACTL6B	162	18
ACTL7A	163	6
ACTL7B	164	5
ACTL8	165	5
ACTL9	166	1
ACTN1	167	24
ACTN2	168	9
ACTN3	169	14
ACTN4	170	58
ACTR10	171	6
ACTR1A	172	7
ACTR1B	173	13
ACTR2	174	5
ACTR3	175	4
ACTR3B	176	35
ACTR6	177	5
ACTR8	178	9
ACTRT1	179	2
ACVR1	180	10
ACVR1B	181	29
ACVR2A	182	11
ACVR2B	183	16
ACVRL1	184	12
ACY1	185	7
ACYP1	186	9
ACYP2	187	21
ADA	188	13
ADAD1	189	5
ADAD2	190	4
ADAL	191	4
ADAM10	192	15
ADAM11	193	3
ADAM12	194	61
ADAM15	195	9
ADAM17	196	11
ADAM18	197	3
ADAM19	198	21
ADAM2	199	16
ADAM22	200	7
ADAM23	201	11
ADAM28	202	9
ADAM32	203	18
ADAM33	204	15
ADAM3A	205	4
ADAM8	206	190
ADAM9	207	1
ADAMDEC1	208	5
ADAMTS1	209	13
ADAMTS10	210	19
ADAMTS12	211	67
ADAMTS13	212	28
ADAMTS14	213	46
ADAMTS15	214	25
ADAMTS16	215	69
ADAMTS17	216	99
ADAMTS18	217	33
ADAMTS19	218	8
ADAMTS2	219	62
ADAMTS20	220	26
ADAMTS3	221	32
ADAMTS4	222	8
ADAMTS5	223	17
ADAMTS6	224	5
ADAMTS8	225	18
ADAMTS9	226	17
ADAMTSL1	227	36
ADAMTSL2	228	33
ADAMTSL3	229	13
ADAMTSL4	230	10
ADAMTSL5	231	11
ADAP1	232	31
ADAP2	233	18
ADAR	234	5
ADARB1	235	32
ADARB2	236	100
ADAT1	237	7
ADAT2	238	13
ADC	239	8
ADCK1	240	26
ADCK2	241	7
ADCK4	242	20
ADCK5	243	13
ADCY1	244	8
ADCY2	245	77
ADCY3	246	12
ADCY4	247	10
ADCY5	248	65
ADCY6	249	11
ADCY7	250	65
ADCY8	251	42
ADCY9	252	36
ADCYAP1	253	15
ADCYAP1R1	254	14
ADD1	255	72
ADD2	256	18
ADD3	257	22
ADH5	258	6
ADH6	259	1
ADHFE1	260	7
ADI1	261	14
ADIPOQ	262	7
ADIPOR1	263	11
ADIPOR2	264	20
ADK	265	39
ADM	266	3
ADM2	267	13
ADNP	268	11
ADNP2	269	2
ADORA1	270	12
ADORA2A	271	16
ADORA2B	272	7
ADORA3	273	26
ADPGK	274	12
ADPRH	275	7
ADPRHL1	276	16
ADPRHL2	277	7
ADRA1A	278	7
ADRA1B	279	18
ADRA1D	280	7
ADRA2A	281	6
ADRA2B	282	7
ADRB1	283	6
ADRB2	284	4
ADRB3	285	4
ADRBK1	286	7
ADRBK2	287	43
ADRM1	288	10
ADSL	289	19
ADSS	290	13
ADSSL1	291	5
AEBP1	292	6
AEBP2	293	6
AES	294	8
AFAP1	295	148
AFAP1L1	296	27
AFAP1L2	297	4
AFF1	298	47
AFF2	299	35
AFF3	300	102
AFF4	301	11
AFG3L2	302	36
AFMID	303	10
AFP	304	8
AGA	305	8
